Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Kurgat, Ednah",SR-4,New Mexico,15:14.78,Boston University / Sharon Colyear-Danville Season Opener,"Dec 1, 2018",914.78
2,"Kelati, Weini",SO-2,New Mexico,15:15.24,Boston University / Sharon Colyear-Danville Season Opener,"Dec 1, 2018",915.24
3,"Lokedi, Sharon",SR-4,Kansas,15:15.47,Boston University / Sharon Colyear-Danville Season Opener,"Dec 1, 2018",915.47
4,"Ostrander, Allie",JR-3,Boise State,15:16.38,Boston University / Sharon Colyear-Danville Season Opener,"Dec 1, 2018",916.38
5,"Wasike, Dorcas",SO-2,Louisville,15:25.35,Boston University / Sharon Colyear-Danville Season Opener,"Dec 1, 2018",925.35
6,"Prouse, Charlotte",JR-3,New Mexico,15:26.01,Boston University / Sharon Colyear-Danville Season Opener,"Dec 1, 2018",926.01
7,"Smith, Jaci",SR-4,Air Force,15:28.07,Boston University / Sharon Colyear-Danville Season Opener,"Dec 1, 2018",928.07
8,"Roberts, Aubrey",SO-2,Northwestern,15:32.38,Boston University / Sharon Colyear-Danville Season Opener,"Dec 1, 2018",932.38
9,"LaRocco, Lauren",SR-4,Portland,15:33.20,Boston University / Sharon Colyear-Danville Season Opener,"Dec 1, 2018",933.2
10,"Henes, Elly",JR-3,North Carolina St.,"15:34.48
#",JDL Early Bird Duals,"Dec 2, 2018",934.48
11,"Monson, Alicia",JR-3,Wisconsin,15:34.53,2019 Indiana University Relays,"Jan 25, 2019",934.53
12,"Pascoe, Jessica",JR-3,Florida,15:34.76,Boston University / Sharon Colyear-Danville Season Opener,"Dec 1, 2018",934.76
13,"O'Keeffe, Fiona",SO-2,Stanford,15:35.77,2019 Husky Classic,"Feb 8, 2019",935.77
14,"Morley, Makena",JR-3,Colorado,15:37.23,2019 Husky Classic,"Feb 8, 2019",937.23
15,"Batt-Doyle, Isobel",JR-3,Washington,15:40.53,2019 Husky Classic,"Feb 8, 2019",940.53
16,"McNulty, Abbie",SR-4,Stanford,15:42.13,2019 Husky Classic,"Feb 8, 2019",942.13
17,"Cohen, Adva",SO-2,New Mexico,15:42.85,Boston University / Sharon Colyear-Danville Season Opener,"Dec 1, 2018",942.85
18,"Mircheva, Militsa",SR-4,Florida State,15:43.30,Boston University / Sharon Colyear-Danville Season Opener,"Dec 1, 2018",943.3
19,"Venters, Emily",FR-1,Boise State,15:45.09,2019 Husky Classic,"Feb 8, 2019",945.09
20,"Alcorta, Caroline",SR-4,Villanova,15:45.64,2019 Husky Classic,"Feb 8, 2019",945.64
21,"Davis, Amy",SR-4,Wisconsin,15:47.80,Iowa State Classic,"Feb 8, 2019",947.8
22,"Allen, Margaret",SR-4,Indiana,15:49.72,Iowa State Classic,"Feb 8, 2019",949.72
23,"Hasz, Megan",SO-2,Minnesota,15:51.55,Iowa State Classic,"Feb 8, 2019",951.55
24,"O'Brien, Clare",JR-3,Boise State,15:51.57,2019 Husky Classic,"Feb 8, 2019",951.57
25,"Gaughan, Jacqueline",FR-1,Notre Dame,15:52.63,Iowa State Classic,"Feb 8, 2019",952.63
