Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Beadlescomb, Morgan",SR-4,Michigan State,3:52.03,The Badgers Windy City Invite,"Feb 11, 2022",232.03
2,"Garcia Romo, Mario",JR-3,Ole Miss,3:53.36,Music City Challenge,"Feb 11, 2022",233.36
3,"Young, Nico",FR-1,Northern Arizona,"3:54.07
@",Lumberjack Team Challenge,"Jan 21, 2022",234.07
4,"Kipsang, Eliud",FR-1,Alabama,3:54.36,Music City Challenge,"Feb 11, 2022",234.36
5,"Nuguse, Yared",SR-4,Notre Dame,3:54.46,Notre Dame Invitational,"Jan 22, 2022",234.46
6,"Yearian, Jack",SR-4,Oregon,3:54.54,2022 Boston University Last Chance Meet,"Feb 27, 2022",234.54
7,"Davis, Jonathan",SR-4,Illinois,3:54.59,Music City Challenge,"Feb 11, 2022",234.59
8,"Brown, Reed",SR-4,Oregon,3:54.77,2022 Boston University Last Chance Meet,"Feb 27, 2022",234.77
9,"Dorenkamp, Evan",SO-2,Penn State,3:55.02,Music City Challenge,"Feb 11, 2022",235.02
10,"Fay, Brian",JR-3,Washington,3:55.14,UW Invite 2022,"Jan 28, 2022",235.14
11,"Young, James",SR-4,Ole Miss,3:55.20,Music City Challenge,"Feb 11, 2022",235.2
12,"Lumb, Kieran",SR-4,Washington,3:55.53,2022 UW Preview,"Jan 15, 2022",235.53
12,"Payamps, Matthew",SO-2,Georgetown,3:55.53,2022 Boston University Bruce Lehane Scarlet and White Invite,"Feb 5, 2022",235.53
14,"Nur, Abdihamid",SO-2,Northern Arizona,"3:55.71
#@",Big Sky Indoor Track and Field Championships,"Feb 24, 2022",235.71
15,"Johnsen, Colton",SR-4,Washington St.,3:55.74,2022 UW Preview,"Jan 15, 2022",235.74
16,"Dahl, Nick",SR-4,Duke,3:55.89,Music City Challenge,"Feb 11, 2022",235.89
17,"Carrozza, Crayton",SO-2,Texas,"3:55.95
#",Camel City Invitational,"Feb 4, 2022",235.95
18,"Basten, Isaac",SO-2,Drake,3:56.10,Arkansas Qualifier,"Feb 18, 2022",236.1
19,"Osterstock, Nate",SR-4,Southern Utah,"3:56.16
@",Lumberjack Team Challenge,"Jan 21, 2022",236.16
20,"Bove, Davis",SO-2,LSU,3:56.38,Music City Challenge,"Feb 11, 2022",236.38
21,"Dolan, Sean",FR-1,Villanova,3:56.39,Music City Challenge,"Feb 11, 2022",236.39
22,"Hamilton, Duncan",SO-2,Montana State,"3:56.40
#@",Big Sky Indoor Track and Field Championships,"Feb 24, 2022",236.4
23,"Waskom, Joe",SO-2,Washington,3:56.43,Arkansas Qualifier,"Feb 18, 2022",236.43
24,"Maier, Alex",SO-2,Oklahoma State,3:56.44,2022 Husky Classic,"Feb 11, 2022",236.44
25,"Houser, Luke",SO-2,Washington,3:56.57,2022 Husky Classic,"Feb 11, 2022",236.57
26,"Fogg, Adam",SR-4,Drake,3:56.60,Cyclone Open,"Jan 22, 2022",236.6
27,"Hacker, Olin",SR-4,Wisconsin,3:56.66,Larry Wieczorek Invitational,"Jan 21, 2022",236.66
28,"Ibrahim, Abdirizak",SO-2,New Mexico,"3:56.69
@",New Mexico Team Open,"Jan 29, 2022",236.69
29,"Lopez Segura, Antonio",SR-4,Virginia Tech,3:56.79,2022 Darius Dixon Memorial Invitational,"Feb 11, 2022",236.79
30,"Ellis, Sam",SR-4,Princeton,3:56.87,2022 Boston University David Hemery Valentine Invitational,"Feb 11, 2022",236.87
31,"Stallings, Zach",JR-3,Washington St.,3:57.00,2022 Husky Classic,"Feb 11, 2022",237.0
32,"Miller, Duncan",JR-3,Princeton,3:57.04,2022 UW Preview,"Jan 15, 2022",237.04
33,"Gomez, Cruz",SO-2,Texas,3:57.09,2022 Boston University David Hemery Valentine Invitational,"Feb 11, 2022",237.09
