Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Wayment, Courtney",SR-4,BYU,15:15.46,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",915.46
2,"Chmiel, Kelsey",JR-3,NC State,15:27.36,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",927.36
3,"Denner, Maddy",JR-3,Notre Dame,15:27.96,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",927.96
4,"Cohen, Adva",SR-4,New Mexico,15:33.00,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",933.0
5,"Hays, Alexandra",JR-3,NC State,15:33.84,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",933.84
6,"Gregory, Lauren",JR-3,Arkansas,15:34.58,Wooo Pig Classic,"Dec 3, 2021",934.58
7,"Chelangat, Mercy",JR-3,Alabama,15:34.82,Samford Invite 2022,"Jan 21, 2022",934.82
8,"Covert, Emily",FR-1,Colorado,15:35.40,2022 Husky Classic,"Feb 11, 2022",935.4
9,"Smee, Ruby",FR-1,San Francisco,15:36.04,2022 Husky Classic,"Feb 11, 2022",936.04
10,"Magness, Jenna",JR-3,Michigan State,15:36.60,Music City Challenge,"Feb 11, 2022",936.6
11,"DeLay, Kayley",SR-4,Yale,15:36.66,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",936.66
12,"Herberg, Haley",JR-3,Washington,15:39.19,2022 Husky Classic,"Feb 11, 2022",939.19
13,"Ryan, Lauren",JR-3,Florida State,15:40.40,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",940.4
14,"Heckel, Emma",FR-1,New Mexico,15:41.07,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",941.07
15,"Larkin, Gracelyn",SO-2,New Mexico,15:41.17,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",941.17
16,"Tuohy, Katelyn",FR-1,NC State,15:41.51,ACC Indoor Track & Field Championships,"Feb 24, 2022",941.51
17,"Mazza-Downie, Amelia",SO-2,New Mexico,"15:41.56
@",2022 Mountain West Indoor Track & Field Championships,"Feb 24, 2022",941.56
18,"Fegans, Nicole",SR-4,Georgia Tech,15:42.73,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",942.73
19,"Kimeli, Joyce",SR-4,Auburn,15:43.39,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",943.39
20,"Mackay, Emily",SR-4,Binghamton,15:44.93,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",944.93
21,"Bailey, Lauren",SR-4,Notre Dame,15:45.30,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",945.3
22,"Hentemann, Gabby",SO-2,Oklahoma State,15:45.44,2022 Husky Classic,"Feb 11, 2022",945.44
23,"Donahue , Maggie",FR-1,Georgetown,15:45.98,2022 Boston University David Hemery Valentine Invitational,"Feb 11, 2022",945.98
