Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Izzo, Katie",JR-3,Arkansas,15:36.22,Razorback Invitational,"Jan 29, 2021",936.22
2,"Gregory, Lauren",SO-2,Arkansas,15:36.51,Razorback Invitational,"Jan 29, 2021",936.51
3,"Magness, Jenna",JR-3,Michigan State,15:42.73,B1G Indoor T&F Invitational,"Feb 12, 2021",942.73
4,"Kimeli, Joyce",JR-3,Auburn,15:46.88,SEC Indoor Track & Field Championships,"Feb 25, 2021",946.88
5,"Steelman, Hannah",SR-4,NC State,15:47.43,Virginia Beach Invitational,"Feb 1, 2021",947.43
6,"Chelangat, Mercy",JR-3,Alabama,15:48.38,SEC Indoor Track & Field Championships,"Feb 25, 2021",948.38
7,"VanderLende, Ericka",SO-2,Michigan,15:48.88,B1G Indoor T&F Invitational,"Feb 12, 2021",948.88
8,"Henes, Elly",SR-4,NC State,15:49.96,Virginia Beach Invitational,"Feb 1, 2021",949.96
9,"Wheeler, Abbey",SR-4,Providence,"15:50.00
#",Camel City Invitational,"Feb 19, 2021",950.0
10,"Forbes, Grace",SO-2,Rice,15:50.38,Charlie Thomas Invitational,"Feb 6, 2021",950.38
11,"Hasz, Bethany",SR-4,Minnesota,15:50.74,Husker Triangular,"Jan 16, 2021",950.74
12,"Chmiel, Kelsey",SO-2,NC State,"15:50.94
#",Camel City Invitational,"Feb 19, 2021",950.94
13,"Gram, Lynsie",SR-4,Michigan State,15:56.30,B1G Indoor T&F Invitational,"Feb 12, 2021",956.3
14,"Fetherstonhaugh, Grace",SO-2,Oregon State,16:00.93,Iowa State Classic,"Feb 12, 2021",960.93
15,"Norris, Mahala",SR-4,Air Force,16:00.94,Iowa State Classic,"Feb 12, 2021",960.94
16,"Tutt, Ashley",JR-3,Northern Illinois,16:01.26,Iowa State Classic,"Feb 12, 2021",961.26
17,"Reinhardt, Hannah",SR-4,Oregon,16:01.67,Tyson Invitational,"Feb 12, 2021",961.67
18,"Clark, Rebecca",FR-1,Florida State,16:02.47,Tyson Invitational,"Feb 12, 2021",962.47
19,"Morris, Logan",JR-3,Arkansas,16:02.63,Razorback Invitational,"Jan 29, 2021",962.63
20,"Fegans, Nicole",SR-4,Georgia Tech,16:06.50,Carolina Challenge,"Jan 23, 2021",966.5
