Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Mackay, Emily",SR-4,Binghamton,4:30.94,2022 Boston University David Hemery Valentine Invitational,"Feb 11, 2022",270.94
2,"Heymach, Julia",SR-4,Stanford,4:31.35,2022 Boston University David Hemery Valentine Invitational,"Feb 11, 2022",271.35
3,"Camarena, Katie",SR-4,Portland State,4:32.27,2022 Husky Classic,"Feb 11, 2022",272.27
4,"Gibson, Anna",JR-3,Washington,4:32.34,2022 Husky Classic,"Feb 11, 2022",272.34000000000003
5,"Chepkemei, Eusila",SR-4,Mid. Tenn. State,4:32.39,2022 Boston University Last Chance Meet,"Feb 27, 2022",272.39
6,"Gregory, Lauren",JR-3,Arkansas,4:32.67,2022 Husky Classic,"Feb 11, 2022",272.67
7,"Vissa, Sintayehu",JR-3,Ole Miss,4:32.70,Vanderbilt Invitational,"Jan 21, 2022",272.7
8,"Heisterman, Madison",SO-2,Washington,4:33.24,2022 Husky Classic,"Feb 11, 2022",273.24
9,"Roe, Taylor",SO-2,Oklahoma State,4:33.56,Big 12 Indoor Championships,"Feb 25, 2022",273.56
10,"Boreman, Madison",JR-3,Colorado,4:33.59,2022 Pac-12 Invitational,"Feb 25, 2022",273.59000000000003
11,"Howell, Olivia",SO-2,Illinois,4:33.75,Music City Challenge,"Feb 11, 2022",273.75
12,"Wayment, Courtney",SR-4,BYU,4:33.97,2022 Husky Classic,"Feb 11, 2022",273.97
13,"Pellicoro, Laura",FR-1,Portland,4:34.45,2022 Husky Classic,"Feb 11, 2022",274.45
14,"Degenero, Micaela",SR-4,Colorado,4:34.49,2022 Pac-12 Invitational,"Feb 25, 2022",274.49
15,"Konieczek, Aneta",SR-4,Oregon,4:34.76,The Badgers Windy City Invite,"Feb 11, 2022",274.76
16,"Leather, Ellie",SR-4,Cincinnati,4:34.89,Music City Challenge,"Feb 11, 2022",274.89
17,"McArthur, Rachel",SR-4,Colorado,4:34.92,2022 Husky Classic,"Feb 11, 2022",274.92
18,"Barnett, Mia",FR-1,Virginia,4:35.09,2022 Boston University David Hemery Valentine Invitational,"Feb 11, 2022",275.09000000000003
19,"Schadler, Allie",SR-4,Washington,4:35.18,UW Invite 2022,"Jan 28, 2022",275.18
20,"Hertenstein, Bailey",JR-3,Indiana,4:35.22,The Badgers Windy City Invite,"Feb 11, 2022",275.22
21,"Jolly, Logan",SR-4,Arkansas,4:35.26,Arkansas Qualifier,"Feb 18, 2022",275.26
