Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Orton, Whittni",SR-4,BYU,8:49.63,2020 Husky Classic (College),"Feb 14, 2020",529.63
2,"Monson, Alicia",SR-4,Wisconsin,8:53.69,113th NYRR Millrose Games,"Feb 8, 2020",533.69
3,"Kelati, Weini",JR-3,New Mexico,8:54.66,113th NYRR Millrose Games,"Feb 8, 2020",534.66
4,"Donaghu, Ella",JR-3,Stanford,8:54.72,2020 Husky Classic (College),"Feb 14, 2020",534.72
5,"Izzo, Katie",JR-3,Arkansas,8:55.67,2020 Husky Classic (College),"Feb 14, 2020",535.67
6,"Rainsberger, Katie",JR-3,Washington,8:56.24,2020 Husky Classic (College),"Feb 14, 2020",536.24
7,"Viljoen, Carina",SR-4,Arkansas,8:56.63,2020 Husky Classic (College),"Feb 14, 2020",536.63
8,"Forbes, Grace",FR-1,Rice,8:56.82,Boston University Last Chance Qualifier,"Feb 28, 2020",536.82
9,"Lawson, Jessica",SO-2,Stanford,8:59.38,2020 Husky Classic (College),"Feb 14, 2020",539.38
10,"Morley, Makena",SR-4,Colorado,"9:00.36
@",Colorado Invitational,"Jan 30, 2020",540.36
11,"Schadler, Allie",JR-3,Washington,9:00.89,Boston University Last Chance Qualifier,"Feb 28, 2020",540.89
12,"Cardama Baez, Carmela",SR-4,Oregon,9:01.67,2020 Husky Classic (College),"Feb 14, 2020",541.67
13,"Smart, Melany",FR-1,Washington,9:06.52,2020 Husky Classic (College),"Feb 14, 2020",546.52
14,"Fegans, Nicole",JR-3,Georgia Tech,9:06.92,ACC Indoor Championships,"Feb 27, 2020",546.92
15,"Freix, Sara",SR-4,Virginia Tech,"9:07.16
#",Camel City Invitational,"Feb 7, 2020",547.16
16,"Steelman , Hannah",JR-3,Wofford,"9:07.19
#",Camel City Invitational,"Feb 7, 2020",547.19
17,"Wheeler, Abbey",JR-3,Providence,9:08.17,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",548.17
18,"Black, Lotte",JR-3,Rhode Island,9:10.30,Boston University Sharon Colyear-Danville Season Opener,"Dec 7, 2019",550.3
19,"Chmiel, Kelsey",FR-1,North Carolina St.,9:10.74,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",550.74
20,"Jennings, Gabrielle",SR-4,Furman,9:11.65,2020 Husky Classic (College),"Feb 14, 2020",551.65
21,"Mettler, Maria",JR-3,Air Force,"9:12.10
@",Mountain West Indoor Championships,"Feb 27, 2020",552.1
22,"Morenaite, Egle",JR-3,Iona,9:12.58,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",552.58
23,"Reinhart, Michaela",JR-3,Duke,9:13.13,ACC Indoor Championships,"Feb 27, 2020",553.13
24,"Hasz, Bethany",JR-3,Minnesota,9:13.46,Iowa State Classic,"Feb 14, 2020",553.46
25,"Martin, Emily",SR-4,New Mexico,"9:13.73
@",Mountain West Indoor Championships,"Feb 27, 2020",553.73
26,"Kimeli, Joyce",SO-2,Auburn,9:14.07,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",554.07
27,"Gear, Krissy",JR-3,Arkansas,9:14.39,2020 Husky Classic (College),"Feb 14, 2020",554.39
28,"Denner, Maddy",SO-2,Notre Dame,9:15.07,ACC Indoor Championships,"Feb 27, 2020",555.07
28,"Edwards, Sarah",SR-4,Virginia Tech,9:15.07,Iowa State Classic,"Feb 14, 2020",555.07
30,"Nuttall, Hannah",SR-4,New Mexico,"9:15.21
@",Mountain West Indoor Championships,"Feb 27, 2020",555.21
31,"DeLay, Kayley",JR-3,Yale,9:15.52,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",555.52
32,"Drop, Jessica",JR-3,Georgia,9:16.25,SEC Indoor Championships,"Feb 28, 2020",556.25
33,"Chelangat, Mercy",SO-2,Alabama,9:16.38,SEC Indoor Championships,"Feb 28, 2020",556.38
34,"Gitahi, Esther",SR-4,Alabama,9:16.42,2020 Husky Classic (College),"Feb 14, 2020",556.42
35,"White, Lauren",JR-3,Boston College,9:16.80,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",556.8
35,"Topham, Rebekah",SR-4,Wichita State,9:16.80,2020 UW Invitational,"Jan 31, 2020",556.8
37,"Gray, Abby",JR-3,Arkansas,9:16.98,Razorback Invitational,"Jan 31, 2020",556.98
38,"Larkin, Gracelyn",FR-1,New Mexico,"9:17.00
@",Mountain West Indoor Championships,"Feb 27, 2020",557.0
39,"Clark, Devin",SR-4,Arkansas,9:17.27,2020 Husky Classic (College),"Feb 14, 2020",557.27
40,"Shaw, Savannah",SO-2,North Carolina St.,9:17.52,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",557.52
41,"Logue, Cailie",SO-2,Iowa State,9:18.04,2020 UW Invitational,"Jan 31, 2020",558.04
42,"Carnahan, Savannah",SR-4,Furman,"9:18.46
#",Camel City Invitational,"Feb 7, 2020",558.46
