Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Monson, Alicia",JR-3,Wisconsin,8:45.97,112th NYRR Millrose Games,"Feb 9, 2019",525.97
2,"Hull, Jessica",SR-4,Oregon,8:53.91,2019 Husky Classic,"Feb 8, 2019",533.91
3,"Kelati, Weini",SO-2,New Mexico,8:53.98,112th NYRR Millrose Games,"Feb 9, 2019",533.98
4,"Ostrander, Allie",JR-3,Boise State,8:55.26,2019 Husky Classic,"Feb 8, 2019",535.26
5,"Hutchinson, Nicole",SR-4,Villanova,8:55.68,2019 Husky Classic,"Feb 8, 2019",535.68
6,"Gregory, Lauren",FR-1,Arkansas,8:55.97,2019 Husky Classic,"Feb 8, 2019",535.97
7,"Werner, Taylor",JR-3,Arkansas,8:56.97,2019 Husky Classic,"Feb 8, 2019",536.97
8,"O'Keeffe, Fiona",SO-2,Stanford,8:58.58,2019 MPSF Indoor Track & Field Championships,"Feb 22, 2019",538.58
9,"Kurgat, Ednah",SR-4,New Mexico,8:59.78,2019 Husky Classic,"Feb 8, 2019",539.78
10,"Prouse, Charlotte",JR-3,New Mexico,"9:00.00
@",Mountain West Indoor Track & Field Championships,"Feb 21, 2019",540.0
11,"Birk, Erica",SR-4,BYU,9:00.69,Iowa State Classic,"Feb 8, 2019",540.69
12,"Smith, Jaci",SR-4,Air Force,"9:01.12
@",Mountain West Indoor Track & Field Championships,"Feb 21, 2019",541.12
13,"Henes, Elly",JR-3,North Carolina St.,"9:01.72
#",Camel City Invitational,"Feb 1, 2019",541.72
14,"Morley, Makena",JR-3,Colorado,9:02.47,2019 MPSF Indoor Track & Field Championships,"Feb 22, 2019",542.47
15,"Rainsberger, Katie",SO-2,Washington,9:02.84,2019 Husky Classic,"Feb 8, 2019",542.84
16,"Steelman , Hannah",SO-2,Wofford,"9:03.22
#",Camel City Invitational,"Feb 1, 2019",543.22
17,"Burdon, Lilli",SR-4,Washington,9:03.32,2019 MPSF Indoor Track & Field Championships,"Feb 22, 2019",543.32
18,"Cohen, Adva",SO-2,New Mexico,"9:05.04
@",Mountain West Indoor Track & Field Championships,"Feb 21, 2019",545.04
19,"McNulty, Abbie",SR-4,Stanford,9:05.66,2019 UW Invitational,"Jan 25, 2019",545.66
20,"Lokedi, Sharon",SR-4,Kansas,9:06.65,Iowa State Classic,"Feb 8, 2019",546.65
21,"Scholl, Tabor",JR-3,Colorado,9:07.07,2019 Husky Classic,"Feb 8, 2019",547.07
22,"Mircheva, Militsa",SR-4,Florida State,9:07.33,Boston University David Hemery Valentine Invitational,"Feb 8, 2019",547.33
23,"Nuttall, Hannah",JR-3,New Mexico,9:07.64,2019 Husky Classic,"Feb 8, 2019",547.64
24,"Feeny, Sarah",JR-3,Utah,9:07.93,2019 MPSF Indoor Track & Field Championships,"Feb 22, 2019",547.93
25,"Benner, Kaitlyn",SR-4,Colorado,9:08.30,2019 Husky Classic,"Feb 8, 2019",548.3
26,"Klein, Dana",SR-4,San Francisco,9:08.38,2019 MPSF Indoor Track & Field Championships,"Feb 22, 2019",548.38
27,"Ilse, Morgan",SR-4,North Carolina,"9:08.54
#",Camel City Invitational,"Feb 1, 2019",548.54
28,"Venters, Emily",FR-1,Boise State,9:08.66,2019 UW Invitational,"Jan 25, 2019",548.66
29,"Ilarda, Brianna",SR-4,Providence,9:08.71,Boston University David Hemery Valentine Invitational,"Feb 8, 2019",548.71
30,"Batt-Doyle, Isobel",JR-3,Washington,9:09.18,2019 MPSF Indoor Track & Field Championships,"Feb 22, 2019",549.18
