Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Klecker, Joe",SR-4,Colorado,"3:55.13
@",Colorado Invitational,"Jan 30, 2020",235.13
2,"Hunter, Charlie",JR-3,Oregon,3:55.41,Boston University Last Chance Qualifier,"Feb 28, 2020",235.41
3,"Teare, Cooper",JR-3,Oregon,3:55.50,Boston University Last Chance Qualifier,"Feb 28, 2020",235.5
4,"Nuguse, Yared",JR-3,Notre Dame,3:55.62,ACC Indoor Championships,"Feb 27, 2020",235.62
5,"Hoare, Oliver",SR-4,Wisconsin,3:56.47,113th NYRR Millrose Games,"Feb 8, 2020",236.47
6,"Villarreal, Carlos",SR-4,Arizona,3:56.77,113th NYRR Millrose Games,"Feb 8, 2020",236.77
7,"Beamish, Geordie",SR-4,Northern Arizona,3:56.90,113th NYRR Millrose Games,"Feb 8, 2020",236.9
8,"Suliman, Waleed",JR-3,Ole Miss,3:57.03,Vanderbilt Invitational,"Jan 17, 2020",237.03
9,"Tuntivate, Kieran",SR-4,Harvard,3:57.36,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",237.36
10,"West, James",SR-4,Oregon,3:57.43,2020 Husky Classic (College),"Feb 14, 2020",237.43
11,"Adams, Ryan",SR-4,Furman,"3:57.62
#",Camel City Invitational,"Feb 7, 2020",237.62
12,"Ellis, Sam",JR-3,Princeton,3:57.66,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",237.66
13,"Stanovsek, Mick",SR-4,Washington,3:57.88,Boston University Last Chance Qualifier,"Feb 28, 2020",237.88
14,"Kusche, George",SO-2,Nebraska,3:57.93,2020 UW Invitational,"Jan 31, 2020",237.93
15,"Zarate, Diego",SR-4,Virginia Tech,"3:58.06
#",Camel City Invitational,"Feb 7, 2020",238.06
16,"Franco, Talem",SR-4,BYU,3:58.09,2020 UW Invitational,"Jan 31, 2020",238.09
17,"Quax, Theo",FR-1,Northern Arizona,3:58.13,2020 Husky Classic (College),"Feb 14, 2020",238.13
18,"Hocker, Cole",FR-1,Oregon,3:58.20,Boston University Last Chance Qualifier,"Feb 28, 2020",238.2
19,"Schadler, Matthew",FR-1,Indiana,3:58.45,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",238.45
20,"Facioni, Zach",SO-2,Wake Forest,"3:58.58
#",Camel City Invitational,"Feb 7, 2020",238.57999999999998
21,"Kurgat, Edwin",SR-4,Iowa State,3:58.62,Iowa State Classic,"Feb 14, 2020",238.62
22,"Grijalva, Luis",SO-2,Northern Arizona,"3:58.69
@",Lumberjack Team Challenge,"Jan 17, 2020",238.69
23,"Hedeilli, Takieddine",JR-3,Texas Tech,3:58.88,2020 Husky Classic (College),"Feb 14, 2020",238.88
24,"O'Donovan, Charlie",SO-2,Villanova,3:58.95,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",238.95
25,"Knevelbaard, Kasey",SR-4,Florida State,3:59.00,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",239.0
26,"Tanner, Sam",FR-1,Washington,3:59.01,2020 UW Invitational,"Jan 31, 2020",239.01
27,"Day, Tyler",SR-4,Northern Arizona,"3:59.21
@",Lumberjack Team Challenge,"Jan 17, 2020",239.21
28,"Nading, Dustin",SR-4,Washington,3:59.25,2020 Husky Classic (College),"Feb 14, 2020",239.25
29,"Wier, Aaron",JR-3,Furman,"3:59.38
#",Camel City Invitational,"Feb 7, 2020",239.38
29,"Ernst, AJ",SR-4,Virginia,3:59.38,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",239.38
31,"Duggan, George",JR-3,Portland,3:59.61,2020 MPSF Indoor Track & Field Championships,"Feb 28, 2020",239.61
32,"Daly, Colin",SR-4,Penn,3:59.74,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",239.74
33,"Carrozza, Crayton",FR-1,Texas,3:59.82,Boston University John Thomas Terrier Classic,"Jan 24, 2020",239.82
34,"Anstey, Jack",SR-4,Illinois State,3:59.93,2020 UW Last Chance College Elite,"Feb 21, 2020",239.93
35,"Brophy, Jake",SR-4,Navy,3:59.98,Boston University John Thomas Terrier Classic,"Jan 24, 2020",239.98
36,"Ratcliffe, Thomas",JR-3,Stanford,4:00.04,2020 UW Preview,"Jan 18, 2020",240.04
