Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Day, Tyler",,Northern Arizona,"13:31.36
@#",Bobcat Preview,"Dec 1, 2018",811.36
2,"Kemboi, Amon",JR-3,Campbell,13:33.64,Boston University / Sharon Colyear-Danville Season Opener,"Dec 1, 2018",813.64
3,"Young, Clayton",SR-4,BYU,13:34.46,Iowa State Classic,"Feb 8, 2019",814.46
4,"Kurgat, Edwin",JR-3,Iowa State,13:34.54,Iowa State Classic,"Feb 8, 2019",814.54
5,"Klecker, Joe",JR-3,Colorado,13:35.97,2019 Husky Classic,"Feb 8, 2019",815.97
6,"McDonald, Morgan",SR-4,Wisconsin,13:37.85,Big Ten Indoor Track and Field Championships,"Feb 22, 2019",817.85
7,"Sugira , James",FR-1,Eastern Kentucky,13:37.88,2019 Husky Classic,"Feb 8, 2019",817.88
8,"Ali, Obsa",SR-4,Minnesota,13:38.41,Iowa State Classic,"Feb 8, 2019",818.41
9,"McMillan, Connor",SR-4,BYU,13:38.63,Iowa State Classic,"Feb 8, 2019",818.63
10,"Mantz, Conner",SO-2,BYU,13:39.27,Iowa State Classic,"Feb 8, 2019",819.27
11,"Kigen, Gilbert",SR-4,Alabama,13:40.14,Iowa State Classic,"Feb 8, 2019",820.14
12,"Grijalva, Luis",FR-1,Northern Arizona,"13:40.35
@#",Big Sky Indoor Track & Field Championships,"Feb 21, 2019",820.35
13,"Veatch, Ben",SO-2,Indiana,13:40.58,Iowa State Classic,"Feb 8, 2019",820.58
14,"Brandt, Robert",JR-3,UCLA,13:40.82,2019 Husky Classic,"Feb 8, 2019",820.82
15,"Dressel, John",JR-3,Colorado,13:41.00,2019 Husky Classic,"Feb 8, 2019",821.0
16,"Kiprop, Vincent",SR-4,Alabama,13:41.21,Iowa State Classic,"Feb 8, 2019",821.21
17,"Solomon, Nahom",SR-4,Georgia Tech,13:41.48,Boston University / Sharon Colyear-Danville Season Opener,"Dec 1, 2018",821.48
18,"Linkletter, Rory",SR-4,BYU,13:42.07,Iowa State Classic,"Feb 8, 2019",822.07
19,"Huxham, Fred",SR-4,Washington,13:42.67,2019 Husky Classic,"Feb 8, 2019",822.67
20,"Boit, Gilbert",JR-3,Arkansas,13:42.95,2019 Husky Classic,"Feb 8, 2019",822.95
21,"Carpenter, Jaret",JR-3,Purdue,13:43.14,Iowa State Classic,"Feb 8, 2019",823.14
22,"McGowan, Timothy",SR-4,Penn State,13:46.49,2019 Husky Classic,"Feb 8, 2019",826.49
23,"Hogan , Paul",SR-4,UMass Lowell,13:46.87,2019 Husky Classic,"Feb 8, 2019",826.87
24,"Mestler, Jackson",JR-3,Oregon,13:46.90,2019 Husky Classic,"Feb 8, 2019",826.9
25,"Somers, Michael",SR-4,Portland,13:47.87,2019 Husky Classic,"Feb 8, 2019",827.87
26,"Aouani, Iliass",SR-4,Syracuse,13:51.87,Boston University David Hemery Valentine Invitational,"Feb 8, 2019",831.87
27,"Curtin, Fearghal",SO-2,Arizona State,13:52.26,Iowa State Classic,"Feb 8, 2019",832.26
28,"Seufer, Peter",JR-3,Virginia Tech,13:52.32,Iowa State Classic,"Feb 8, 2019",832.32
29,"Motschmann, Johannes",SR-4,Iona,13:53.48,Boston University / Sharon Colyear-Danville Season Opener,"Dec 1, 2018",833.48
30,"Beamish, Geordie",,Northern Arizona,"13:53.62
@#",Bobcat Preview,"Dec 1, 2018",833.62
31,"Masai, Alex",,Hofstra,13:53.65,Boston University Last Chance Qualifier,"Feb 24, 2019",833.65
32,"Anderson, Tanner",JR-3,Washington,13:54.98,2019 Husky Classic,"Feb 8, 2019",834.98
