Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Cheserek, Edward",SR-4,Oregon,13:32.59,2017 Husky Classic,"Feb 10, 2017",812.59
2,"Gilbert, Colby",JR-3,Washington,13:34.85,2017 Husky Classic,"Feb 10, 2017",814.85
3,"Scott, Marc",SR-4,Tulsa,13:38.87,2016 Hoosier Open,"Dec 9, 2016",818.87
4,"Peterson, Erik",SR-4,Butler,13:40.90,2017 Husky Classic,"Feb 10, 2017",820.9
5,"Dressel, John",SO-2,Colorado,13:42.57,2017 Husky Classic,"Feb 10, 2017",822.57
6,"Terer, Amon",SR-4,Campbell,13:42.78,Iowa State Classic,"Feb 10, 2017",822.78
7,"Erb, MJ",SR-4,Ole Miss,13:43.55,Iowa State Classic,"Feb 10, 2017",823.55
8,"Baxter, Matthew",JR-3,Northern Arizona,13:44.27,Iowa State Classic,"Feb 10, 2017",824.27
9,"Mock, Jerrell",SR-4,Colorado St.,13:44.65,2017 Husky Classic,"Feb 10, 2017",824.65
10,"Young, Clayton",SO-2,BYU,13:45.25,Iowa State Classic,"Feb 10, 2017",825.25
11,"Herriott, Zach",SR-4,Virginia,13:45.37,Boston University Scarlet and White,"Feb 3, 2017",825.37
12,"Green, Jonathan",JR-3,Georgetown,13:45.73,Iowa State Classic,"Feb 10, 2017",825.73
13,"Fischer, Grant",JR-3,Colorado St.,13:46.58,2017 Husky Classic,"Feb 10, 2017",826.58
14,"Short, Alex",SR-4,San Francisco,13:47.57,2017 Husky Classic,"Feb 10, 2017",827.57
15,"Chelanga, Alfred",JR-3,Alabama,13:48.12,Iowa State Classic,"Feb 10, 2017",828.12
16,"Linkletter, Rory",SO-2,BYU,13:49.00,Iowa State Classic,"Feb 10, 2017",829.0
17,"Day, Tyler",SO-2,Northern Arizona,13:49.53,Iowa State Classic,"Feb 10, 2017",829.53
18,"Albertson, CJ",SR-4,Arizona State,13:50.24,Iowa State Classic,"Feb 10, 2017",830.24
19,"Knight, Justyn",SO-2,Syracuse,13:50.27,ACC Championships,"Feb 23, 2017",830.27
20,"Kosgei, Antony",SO-2,UTEP,13:50.74,2017 Husky Classic,"Feb 10, 2017",830.74
21,"Anderson, Tanner",FR-1,Oregon,13:51.69,2017 Husky Classic,"Feb 10, 2017",831.69
22,"Huxham, Fred",SO-2,Washington,13:51.87,2017 Husky Classic,"Feb 10, 2017",831.87
23,"Bennie, Colin",SR-4,Syracuse,13:51.93,Iowa State Classic,"Feb 10, 2017",831.93
24,"Parsons, George",SR-4,North Carolina St.,13:52.26,ACC Championships,"Feb 23, 2017",832.26
25,"Kemboi, Amon",FR-1,Campbell,13:52.49,Iowa State Classic,"Feb 10, 2017",832.49
26,"Weaverling, Chase",SO-2,Virginia,13:54.39,Boston University Scarlet and White,"Feb 3, 2017",834.39
27,"Harper, Jonathan",JR-3,BYU,13:54.81,Iowa State Classic,"Feb 10, 2017",834.81
28,"Fischer, Reed",SR-4,Drake,13:55.27,Iowa State Classic,"Feb 10, 2017",835.27
29,"Demarest, Brent",JR-3,Virginia,13:56.03,Boston University Scarlet and White,"Feb 3, 2017",836.03
30,"Klecker, Joe",SO-2,Colorado,13:56.15,MPSF Indoor Track & Field Championships,"Feb 24, 2017",836.15
31,"Bilvado, Jacob",SO-2,Air Force,13:56.93,2017 Husky Classic,"Feb 10, 2017",836.93
