Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Izzo, Katie",JR-3,Arkansas,15:13.09,Boston University Sharon Colyear-Danville Season Opener,"Dec 7, 2019",913.09
2,"Kelati, Weini",JR-3,New Mexico,15:14.71,Boston University Sharon Colyear-Danville Season Opener,"Dec 7, 2019",914.71
3,"Jones, Dani",SR-4,Colorado,15:17.11,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",917.11
4,"Orton, Whittni",SR-4,BYU,15:22.98,Boston University Sharon Colyear-Danville Season Opener,"Dec 7, 2019",922.98
5,"Hasz, Bethany",JR-3,Minnesota,15:25.33,Boston University Sharon Colyear-Danville Season Opener,"Dec 7, 2019",925.33
6,"Cardama Baez, Carmela",SR-4,Oregon,15:25.41,Boston University Sharon Colyear-Danville Season Opener,"Dec 7, 2019",925.41
7,"Morley, Makena",SR-4,Colorado,15:26.22,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",926.22
8,"Chelangat, Mercy",SO-2,Alabama,15:37.35,2020 Husky Classic (College),"Feb 14, 2020",937.35
9,"Kimeli, Joyce",SO-2,Auburn,15:37.82,Boston University Sharon Colyear-Danville Season Opener,"Dec 7, 2019",937.82
10,"Hasz, Megan",JR-3,Minnesota,15:39.03,Boston University Sharon Colyear-Danville Season Opener,"Dec 7, 2019",939.03
11,"Wheeler, Abbey",JR-3,Providence,15:40.67,Boston University Sharon Colyear-Danville Season Opener,"Dec 7, 2019",940.67
12,"Mettler, Maria",JR-3,Air Force,15:49.58,Iowa State Classic,"Feb 14, 2020",949.58
13,"Logue, Cailie",SO-2,Iowa State,15:50.15,Boston University Sharon Colyear-Danville Season Opener,"Dec 7, 2019",950.15
14,"Freix, Sara",SR-4,Virginia Tech,15:52.18,Iowa State Classic,"Feb 14, 2020",952.18
15,"Martin, Emily",SR-4,New Mexico,15:52.37,Boston University Sharon Colyear-Danville Season Opener,"Dec 7, 2019",952.37
16,"Richardson, Aoibhe",SR-4,San Francisco,15:52.54,2020 Husky Classic (College),"Feb 14, 2020",952.54
17,"Cohen, Adva",JR-3,New Mexico,15:53.11,Boston University Sharon Colyear-Danville Season Opener,"Dec 7, 2019",953.11
18,"Clark, Devin",SR-4,Arkansas,15:59.09,SEC Indoor Championships,"Feb 28, 2020",959.09
19,"Chmiel, Kelsey",FR-1,North Carolina St.,16:02.06,Boston University Sharon Colyear-Danville Season Opener,"Dec 7, 2019",962.06
20,"Delanis, Emeline",SR-4,Boston College,16:03.09,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",963.09
21,"Drop, Jessica",JR-3,Georgia,16:04.15,2020 Husky Classic (College),"Feb 14, 2020",964.15
22,"Monson, Alicia",SR-4,Wisconsin,16:04.77,Big Ten Indoor Track and Field Championships,"Feb 28, 2020",964.77
23,"Funderburk, Elizabeth",FR-1,Florida State,16:05.56,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",965.56
24,"Miller, Hannah",,SMU,16:06.14,Boston University Sharon Colyear-Danville Season Opener,"Dec 7, 2019",966.14
25,"Poe, Jeralyn",SR-4,Michigan State,16:06.72,Music City Challenge,"Feb 14, 2020",966.72
26,"Roberts, Aubrey",JR-3,Northwestern,16:07.63,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",967.63
27,"Kostarellis, Anna",SO-2,Xavier (Ohio),16:08.45,Music City Challenge,"Feb 14, 2020",968.45
28,"Magness, Jenna",SO-2,Michigan State,16:08.74,Big Ten Indoor Track and Field Championships,"Feb 28, 2020",968.74
29,"VanderLende, Ericka",FR-1,Michigan,16:10.38,Big Ten Indoor Track and Field Championships,"Feb 28, 2020",970.38
30,"Wasike, Dorcas",JR-3,Louisville,16:10.91,Music City Challenge,"Feb 14, 2020",970.91
31,"Malaspina, Mikayla",SR-4,Northern Arizona,16:11.00,2020 Husky Classic (College),"Feb 14, 2020",971.0
32,"Driscoll, Ashley",SR-4,Texas A&M,16:11.80,SEC Indoor Championships,"Feb 28, 2020",971.8
