Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Knight, Justyn",JR-3,Syracuse,7:45.86,NYRR Millrose Games,"Feb 3, 2018",465.86
2,"Trouard, Andy",SR-4,Northern Arizona,7:48.21,Iowa State Classic,"Feb 9, 2018",468.21
3,"Fisher, Grant",SO-2,Stanford,7:48.56,Iowa State Classic,"Feb 9, 2018",468.56
4,"Gilbert, Colby",SR-4,Washington,7:49.42,2018 Husky Classic,"Feb 9, 2018",469.42
5,"Griffith, Cameron",SO-2,Arkansas,7:49.78,2018 Husky Classic,"Feb 9, 2018",469.78
6,"Davis, Jonathan",FR-1,Illinois,7:49.92,Iowa State Classic,"Feb 9, 2018",469.92
7,"Rockhold, Cole",JR-3,Colorado St.,7:50.10,2018 Husky Classic,"Feb 9, 2018",470.1
8,"Mau, Kyle",SO-2,Indiana,7:50.85,Iowa State Classic,"Feb 9, 2018",470.85
9,"Saarel, Ben",SR-4,Colorado,7:50.93,2018 Husky Classic,"Feb 9, 2018",470.93
10,"West, James",JR-3,Oregon,7:51.23,2018 Husky Classic,"Feb 9, 2018",471.23
11,"Hoare, Oliver",SO-2,Wisconsin,7:51.69,Iowa State Classic,"Feb 9, 2018",471.69
12,"Tate, Mike",SR-4,Southern Utah,7:51.71,2018 Husky Classic,"Feb 9, 2018",471.71
13,"Kipkoech, Lawrence",JR-3,Campbell,"7:52.18
#",Camel City Invitational,"Feb 2, 2018",472.18
14,"Chemadi, Kigen",JR-3,Mid. Tenn. State,"7:52.92
#",Camel City Invitational,"Feb 2, 2018",472.92
15,"Maggard, Dillon",SR-4,Utah State,7:52.99,2018 UW Invitational,"Jan 26, 2018",472.99
16,"Baxter, Matthew",SR-4,Northern Arizona,7:53.37,Iowa State Classic,"Feb 9, 2018",473.37
17,"Teare, Cooper",FR-1,Oregon,7:53.66,2018 Husky Classic,"Feb 9, 2018",473.65999999999997
18,"Thomson, Jacob",SR-4,Kentucky,7:53.87,Clemson Invitational,"Jan 19, 2018",473.87
19,"Linkletter, Rory",JR-3,BYU,7:54.29,MPSF Indoor Track & Field Championships,"Feb 23, 2018",474.29
20,"Fahy, Steven",JR-3,Stanford,7:54.62,MPSF Indoor Track & Field Championships,"Feb 23, 2018",474.62
21,"DeHaven, Addison",JR-3,Boise State,7:54.83,2018 Husky Classic,"Feb 9, 2018",474.83
22,"Knevelbaard, Kasey",SO-2,Southern Utah,7:54.85,2018 Husky Classic,"Feb 9, 2018",474.85
23,"Bruce, Jack",SR-4,Arkansas,7:54.95,SEC Indoor Championships,"Feb 24, 2018",474.95
24,"Tobin, Sean",SR-4,Ole Miss,7:55.08,Iowa State Classic,"Feb 9, 2018",475.08
25,"Kiprop, Vincent",JR-3,Alabama,7:55.79,SEC Indoor Championships,"Feb 24, 2018",475.79
26,"Kurgat, Edwin",SO-2,Iowa State,7:56.40,Iowa State Classic,"Feb 9, 2018",476.4
27,"Tooker, Aidan",SO-2,Syracuse,7:56.57,Iowa State Classic,"Feb 9, 2018",476.57
