Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Receveur, Katherine",SO-2,Indiana,15:28.89,Big Ten Indoor Track and Field Championships,"Feb 24, 2017",928.89
2,"Barrett, Tessa",SO-2,Penn State,15:28.99,Big Ten Indoor Track and Field Championships,"Feb 24, 2017",928.99
3,"Finn, Erin",JR-3,Michigan,15:32.45,Big Ten Indoor Track and Field Championships,"Feb 24, 2017",932.45
4,"Schweizer, Karissa",JR-3,Missouri,15:37.40,Boston University Season Opener,"Dec 3, 2016",937.4
5,"Rohrer, Anna",SO-2,Notre Dame,15:38.11,ACC Championships,"Feb 23, 2017",938.11
6,"Buchalski, Allie",JR-3,Furman,15:46.86,Iowa State Classic,"Feb 10, 2017",946.86
7,"McDermitt, Jordann",JR-3,Eastern Michigan,15:50.16,Iowa State Classic,"Feb 10, 2017",950.16
8,"Clark, Erin",SR-4,Colorado,15:50.96,MPSF Indoor Track & Field Championships,"Feb 24, 2017",950.96
9,"Schmaedick, Maggie",JR-3,Oregon,15:52.28,MPSF Indoor Track & Field Championships,"Feb 24, 2017",952.28
10,"Pendergast, Judy",FR-1,Harvard,15:52.64,2017 Husky Classic,"Feb 10, 2017",952.64
11,"Murphy, Grayson",JR-3,Utah,15:53.24,MPSF Indoor Track & Field Championships,"Feb 24, 2017",953.24
12,"Blaase, Chelsea",SR-4,Tennessee,15:53.73,2017 Husky Classic,"Feb 10, 2017",953.73
13,"LaRocco, Lauren",SO-2,Portland,15:54.26,2017 Husky Classic,"Feb 10, 2017",954.26
14,"Collins, Sarah",SR-4,Providence,15:54.46,Boston University Season Opener,"Dec 3, 2016",954.46
15,"Blaney, Anne-Marie",SR-4,UCF,15:55.69,Music City Challenge,"Feb 10, 2017",955.69
16,"Ilarda, Brianna",JR-3,Providence,15:55.91,Boston University Season Opener,"Dec 3, 2016",955.91
17,"Kemp, Erika",JR-3,North Carolina St.,15:56.52,Boston University Season Opener,"Dec 3, 2016",956.52
18,"Fraser, Vanessa",JR-3,Stanford,15:56.89,2017 UW Invitational,"Jan 27, 2017",956.89
19,"Wright, Alice",JR-3,New Mexico,"15:56.94
@",2017 Mountain West Indoor Track & Field Championships,"Feb 23, 2017",956.94
20,"Pratt, Olivia",SR-4,Butler,15:57.41,2016 Hoosier Open,"Dec 9, 2016",957.41
21,"Morley, Makena",FR-1,Colorado,15:58.07,MPSF Indoor Track & Field Championships,"Feb 24, 2017",958.07
22,"Cash, Alli",JR-3,Oregon,16:00.27,2017 Husky Classic,"Feb 10, 2017",960.27
23,"Durgin, Emily",SR-4,Connecticut,16:00.93,Boston University Season Opener,"Dec 3, 2016",960.93
24,"Wiersma, Alexis",SR-4,Michigan State,16:01.18,SPIRE NCAA Division 1 Indoor Track & Field Meet,"Feb 10, 2017",961.18
25,"Hunsberger, Jillian",SO-2,Penn State,16:01.90,Big Ten Indoor Track and Field Championships,"Feb 24, 2017",961.9
26,"Goertzen, Brenley",SO-2,TCU,16:02.80,Big 12 Indoor Track & Field Championships,"Feb 24, 2017",962.8
27,"Disanza, Sarah",JR-3,Wisconsin,16:03.05,Big Ten Indoor Track and Field Championships,"Feb 24, 2017",963.05
28,"Rome, Regan",JR-3,William and Mary,16:03.45,BU Last Chance 2017,"Feb 26, 2017",963.45
29,"Albertson, Chelsey",SR-4,Arizona State,16:03.47,Iowa State Classic,"Feb 10, 2017",963.47
